,coefficient
esg_governance,0.01574955104819946
esg_environment,-0.012112863889665483
vendor_delay_days_per_month,0.007375892072585551
avg_days_to_pay,0.004687647080932044
downtime_hours_per_month,-0.0016488117306122534
market_volatility,-0.0013007708834624613
esg_controversies,-0.001292550061585836
failure_rate_per_1000,0.0009779253743114943
stock_return_30d,0.0003363975719333061
credit_score,1.7370527444879335e-05
profit,-5.9200752227815586e-06
debt,-4.016412537390304e-07
assets,9.587240036639562e-08
revenue,-4.730188482618723e-08
